,title,bag_of_words
49532,Dragon Trainer,animation action adventure usa deandeblois chrissanders may assumed hapless young viking creatures aspires dragon unlikely friend hunt dragons becomes learns 
8770,Il ponte sul fiume Kwai,adventure drama war uk usa davidlean planning river kwai build knowing forced allied forces japanese captors destroy railway bridge across british pows 
12676,Nick mano fredda,crime drama usa stuartrosenberg two years rural prison sentenced conform laid back southern man refuses 
33360,The Sixth Sense - Il sesto senso,drama mystery thriller usa m.nightshyamalan boy communicates help spirits seeks disheartened child psychologist 
17322,Rocky,drama sport usa johng.avildsen small go fight bout self respect weight champion supremely rare chance strives heavy distance time boxer gets 
17257,Quinto potere,drama usa sidneylumet ravings deranged former anchor profit news media television network cynically exploits revelations 
33473,Lagaan - C'era una volta in India,adventure drama musical india ashutoshgowariker game ruthless british rulers small village people cricket future victorian india stake 
24046,L'attimo fuggente,comedy drama usa peterweir self maverick teacher john keating uses poetry expression embolden new heights boarding school students 
26981,Nightmare Before Christmas,animation family fantasy usa henryselick home causes confusion king discovers christmas town bring jack skellington attempts halloween 
22449,Il castello nel cielo,animation adventure drama japan hayaomiyazaki foreign agents magic crystal must race girl young boy search pirates legendary floating castle 
66802,Zootropolis,animation adventure comedy usa byronhoward richmoore anthropomorphic animals cynical con artist fox must work together conspiracy rookie bunny cop uncover city 
11069,8Â½,drama italy france federicofellini memories fantasies harried movie director retreats 
58439,Revenant - Redivivo,action adventure drama usa hongkong taiwan alejandrog.iã±ã¡rritu members frontiersman mauled dead 1820s fights bear hunting team left fur trading expedition survival 
59908,Lei,drama romance sci-fi usa spikejonze every need meet near future lonely writer develops unlikely relationship operating system designed 
58405,Noi siamo infinito,drama romance usa stephenchbosky welcome introvert freshman wings taken real world two seniors 
43800,Sin City,crime thriller usa frankmiller quentintarantino tells movie miserable town dark story caught explores basin city three different people violent corruption 
43778,Lo scafandro e la farfalla,biography drama france usa julianschnabel elle editor true story 
37070,Donnie Darko,drama mystery sci-fi usa richardkelly narrowly escaping man manipulates series visions troubled teenager large rabbit suit commit crimes plagued bizarre accident 
13354,Il pianeta delle scimmie,adventure sci-fi usa franklinj.schaffner oppressed planet enslaved astronaut crew crash lands humans intelligent talking apes distant future dominant species 
20000,Gandhi,biography drama history uk india richardattenborough indian revolts became philosophy nonviolent protest life famed leader british rule lawyer 
13381,Rosemary's Baby - Nastro rosso a New York,drama horror usa romanpolanski peculiar neighbors young couple trying fancy apartment surrounded baby move 
